	Номенклатура	Входит в группу	Штрихкод	Shsh
15755	Шашлык филе грудок, охл. вес.	200.17 Шашлык на шпажке, охл.	2109342	Y
15756	Шашлык филе грудки индейки, охл. вес.	200.17 Шашлык на шпажке, охл.	2109343	Y
15762	Сердечки в маринаде, охл, вес	200.17 Шашлык на шпажке, охл.	2109366	Y
16079	Шашлык из Шеи (Жаркое пряное Мангал), шт. 300 гр.	Не использовать!!!Готовая продукция	2000000023069	Y
16187	Шашлык Особый, охл, в/у, вес	100. Шашлык	2113042	Y
16414	Шашлык из шампиньонов, охл, вес	200.17 Шашлык на шпажке, охл.	2109596	Y
16419	Шашлык из Балыка (По-Русски Мангал), шт. 257 гр.	Не использовать!!!Готовая продукция	2000000019796	Y
16430	Колбаски Шашлычные -куриные с куркумой (Гриль), шт	200.02 Гриль (Колбаски, сосиски, рубленые)	2000000228525	Y
16442	Набор для шашлыка гриль - микс Кавказский охл, вес	100. Шашлык	2110430	Y
16508	Сыр гриль с грудинкой, вес	200.17 Шашлык на шпажке, охл.	2151250	Y
16734	ИМ Шашлык Капри экстра (шейка в майонезе) кат Г, охл	Интернет Магазин	2000000221854	Y
16815	Шашлык Деликатесный, кат Б, охл, вес Не исп	100. Шашлык	2109948	Y
16892	Крыло куриное в мятном маринаде, охл, вес Не исп	100. Шашлык	2109971	Y
16896	Мясная ватрушка с сыром и зеленью (в подложке), охл, 0,3кг	100. Шашлык	4607063387213	Y
16897	Цукини резанные (для гриля), 0,4 кг	100. Шашлык	4630061391791	Y
16898	Шашлык филе грудки индейки (Гриль), вес	200.07 Гриль (Шашлык на шпажке)	2109403	Y
16942	Шашлык Летний из мяса птицы (Гриль), вес	200.07 Гриль (Шашлык на шпажке)	2112319	Y
17293	Шашлык из маринованной шейки (Гриль), вес	200.07 Гриль (Шашлык на шпажке)	2109405	Y
17823	Бедро куриное для гриля (в маринаде Грилевый), в/у, охл, вес	100. Шашлык	2110379	Y
17967	Уголь Гринкоал древесный в брикетах, 1,5 кг	Шашлычный инвентарь	2000000329871	Y
17968	Уголь Гринкоал древесный в брикетах, 1,5 кг	Шашлычный инвентарь	4631149859264	Y
17969	Шашлык из курицы, 220г НЕ исп	Выведено 200 Продукция ФРС	2004500001329	Y
18139	Шашлык Для пикника кат Б, зам, 1 кг	100. Шашлык	4607063381112	Y
18140	Шашлык Для пикника кат Б, зам, 2 кг	100. Шашлык	4607063381136	Y
18141	Шашлык По-уральски кат В, зам, 2 кг	100. Шашлык	4607063380405	Y
18142	Шашлык По-уральски кат В, зам, 5 кг	100. Шашлык	2000100000564	Y
18150	Ребрышки Деликатесные кат В, охл	100. Шашлык	2101010	Y
18393	Шашлык Классический (филе грудок) охл., вес, в/у	100. Шашлык	2100294	Y
18394	Шашлык Классический из свинины кат В, в/у, охл, вес	100. Шашлык	2101047	Y
18398	Шашлык Классический из свинины кат В, зам, 1 кг	100. Шашлык	4607063383963	Y
18399	Шашлык Классический из свинины кат В, зам, 2 кг Не исп	100. Шашлык	4607063383970	Y
18406	Шашлык куриный (бедро) в/у, охл, 0,9 кг	100. Шашлык	2000000014562	Y
18407	Шашлык куриный (бедро) в/у, охл, 0,9 кг	100. Шашлык	4607063383420	Y
18408	Шашлык куриный (бедро) в/у, охл, 0,9 кг	100. Шашлык	4607063384120	Y
18409	Шашлык куриный (бедро) в/у, охл, 1,8 кг	100. Шашлык	2000000014579	Y
18410	Шашлык куриный (бедро) в/у, охл, 1,8 кг	100. Шашлык	4607063383437	Y
18411	Шашлык куриный (бедро) в/у, охл, 1,8 кг	100. Шашлык	4607063384137	Y
