	Номенклатура	Входит в группу	Штрихкод	Shsh
7355	Шашлык из индейки в маринаде (Гриль), вес	200.07 Гриль (Шашлык на шпажке)	2113875	Y
7356	Сердце цыпленка-бройлера (Гриль), вес	200.07 Гриль (Шашлык на шпажке)	2113876	Y
7357	Свинина с овощами (Гриль), вес	200.07 Гриль (Шашлык на шпажке)	2113877	Y
7477	Салфетки	Шашлычный инвентарь	2000000034034	Y
7478	Салфетки	Шашлычный инвентарь	4630012020060	Y
7498	Шашлык Смачный, кат Б, охл, вес Не исп	100. Шашлык	2109949	Y
7508	Шашлык БАЛЫК, 350 гр/шт. (Мангал)	200.08 Гриль, Мангал (Шашлык)	2004500000728	Y
7517	ИМ Шашлык куриный (филе грудок) 0,9кг в/у, охл	Интернет Магазин	2000000221908	Y
7556	Сердечки в маринаде (Гриль), шт, 150г	200.07 Гриль (Шашлык на шпажке)	2000000198835	Y
7557	Печень в маринаде (Гриль), шт, 150г	200.07 Гриль (Шашлык на шпажке)	2000000198842	Y
7608	Шампуры деревянные Грифон (40 см, 16 шт)	Шашлычный инвентарь	2000000263267	Y
7609	Решетка Походная Грифон	Шашлычный инвентарь	2000000263274	Y
7610	Решетка Стейк Грифон	Шашлычный инвентарь	2000000263281	Y
7611	Решетка Глубокая Грифон	Шашлычный инвентарь	2000000263298	Y
7612	Мангал Грифон	Шашлычный инвентарь	2000000263304	Y
7613	Опахало для костра Грифон	Шашлычный инвентарь	2000000263311	Y
7679	Уголь древесный 2кг СУ	Шашлычный инвентарь	2007600000018	Y
7680	Уголь древесный 2кг СУ	Шашлычный инвентарь	2009200000115	Y
7681	Уголь древесный 2кг СУ	Шашлычный инвентарь	2400100169443	Y
7682	Уголь древесный 2кг СУ	Шашлычный инвентарь	2400100175390	Y
7683	Уголь древесный 2кг СУ	Шашлычный инвентарь	4680047009004	Y
7979	Шашлык из грудинки с шампиньонами (Гриль), вес	200.07 Гриль (Шашлык на шпажке)	2110320	Y
8025	Филе куриное для гриля (в маринаде Беларичи), в/у, охл, вес	100. Шашлык	2110378	Y
8105	Шашлык Капри экстра (балык в майонезе) ,кат В, в/у,охл (на шпажке) Не исп	100. Шашлык	2109643	Y
8257	Шашлык из филе цыпленка в лаваше, 0,22 кг АКЦИЯ	Интернет Магазин	2000100001516	Y
8258	Шашлык из свинины в лаваше, 0,22 кг АКЦИЯ	Интернет Магазин	2000100001509	Y
8259	Шашлык Чикен-гриль  (крылышки острые), охл, вес АКЦИЯ	Интернет Магазин	2112918	Y
8260	Шашлык Чикен-гриль (крылышки сладкие), охл, вес АКЦИЯ	Интернет Магазин	2112919	Y
8284	Опахало для костра, пластик 21*31,5 см Грифон (СоюзУпак)	Шашлычный инвентарь	2000000351179	Y
8285	Опахало для костра, пластик 21*31,5 см Грифон (СоюзУпак)	Шашлычный инвентарь	4607696000282	Y
8307	МЕТРО Кетчуп Шашлычный	Метро (франшиза)	2000000351391	Y
8384	Сердечки в маринаде (Гриль),вес	200.07 Гриль (Шашлык на шпажке)	2112961	Y
8392	Шашлык (в маринаде Темное пиво), Гриль, вес	200.05 Гриль (Мясо)	2112965	Y
8393	Шашлык По-Кавказски гриль	200.05 Гриль (Мясо)	2112966	Y
8394	Шашлык куриный (филе грудок) Гриль, вес	200.01 Гриль (Курица)	2112967	Y
8753	Шашлык в маринаде Кленовый сироп (Гриль), вес	200.07 Гриль (Шашлык на шпажке)	2113036	Y
8784	"Мангал 300*200*300мм, ""Я выбрал"", Союз Упак"	Шашлычный инвентарь	2000000357300	Y
8785	"Мангал 300*200*300мм, ""Я выбрал"", Союз Упак"	Шашлычный инвентарь	4600000003474	Y
8786	"Опахало, ""Домашний сундук"", Союз Упак"	Шашлычный инвентарь	2000000357317	Y
8787	"Опахало, ""Домашний сундук"", Союз Упак"	Шашлычный инвентарь	4607115266565	Y
8788	"Решетка-Гриль, 23*23 см, ""Твой Пикник"", Союз Упак"	Шашлычный инвентарь	2000000357324	Y
8789	"Решетка-Гриль, 23*23 см, ""Твой Пикник"", Союз Упак"	Шашлычный инвентарь	4603725424302	Y
8790	"Решетка-Гриль, 23*23 см, ""Твой Пикник"", Союз Упак"	Шашлычный инвентарь	7930065102377	Y
8791	"Решетка-Гриль, 36*28,5 см ""Домашний сундук"", Союз Упак"	Шашлычный инвентарь	2000000357331	Y
8792	"Решетка-Гриль, 36*28,5 см ""Домашний сундук"", Союз Упак"	Шашлычный инвентарь	4603725286511	Y
8793	Жидкость для розжига, 0,22л, парафиновая, Союз Упак	Шашлычный инвентарь	2000000357348	Y
8794	Жидкость для розжига, 0,22л, парафиновая, Союз Упак	Шашлычный инвентарь	4600000564463	Y
8795	Жидкость для розжига, 0,22л, парафиновая, Союз Упак	Шашлычный инвентарь	4603727950229	Y
8796	Жидкость для розжига, 0,22л, парафиновая, Союз Упак	Шашлычный инвентарь	4603773170008	Y
8797	Жидкость для розжига, 0,22л, парафиновая, Союз Упак	Шашлычный инвентарь	4626015040655	Y
8798	Палочки для шашлыка, 25 шт, Союз Упак	Шашлычный инвентарь	2000000357355	Y
8799	Палочки для шашлыка, 25 шт, Союз Упак	Шашлычный инвентарь	2400000447481	Y
8800	Палочки для шашлыка, 25 шт, Союз Упак	Шашлычный инвентарь	4641001120012	Y
8805	Шашлык на ребрышках Пикник (Гриль), вес	200.05 Гриль (Мясо)	2113046	Y
8806	Шашлык Особый (Гриль), вес	200.07 Гриль (Шашлык на шпажке)	2113048	Y
8807	Шашлык АКЦИЯ Классический из свинины кат В, в/у, охл, вес	Интернет Магазин	2113047	Y
8808	Шашлык АКЦИЯ куриный (филе грудок) 0,9кг в/у, охл	Интернет Магазин	2000000358246	Y
8809	Шашлык АКЦИЯ Капри экстра (шейка в майонезе) кат В, охл, вес	Интернет Магазин	2113049	Y
8885	Перец болгарский резанный (для гриля), 0,3 кг	100. Шашлык	4630061391807	Y
8903	Шашлык Для пикника с луком, кат Б, в/у, охл, вес	100. Шашлык	2112172	Y
8904	ИМ Шашлык Пикантный, кат Б, в/у, охл (на шпажке)	Интернет Магазин	2000000221915	Y
8955	Шашлык на ребрышках Пикник кат В, охл, в/у, вес	100. Шашлык	2113041	Y
8963	ИМ Шашлык Капри экстра (балык в майонезе) кат В, охл	Интернет Магазин	2000000221861	Y
8982	Шашлык (в маринаде Темное пиво), кат Б, в/у, охл, вес	100. Шашлык	2110421	Y
8994	Шашлык из шампиньонов (Гриль), вес	200.07 Гриль (Шашлык на шпажке)	2109903	Y
9005	Шашлык из семги (Гриль), вес	200.07 Гриль (Шашлык на шпажке)	2109402	Y
9008	Скатерть	Шашлычный инвентарь	2000000034058	Y
9009	Скатерть	Шашлычный инвентарь	4607030641492	Y
9327	Крылышки «Острые», в/у, охл, вес	100. Шашлык	2113065	Y
9650	Шашлык для гриля (Гриль), вес	200.07 Гриль (Шашлык на шпажке)	2112453	Y
9746	Шашлык из говядины ГРИЛЬ	Выведено 200 Продукция ФРС	2109681	Y
10198	Шашлык свинина вырезка, шт 180 гр	Выездная торговля не для ТТ	2000000360492	Y
10199	Шашлык свинина Шея на шпажке, шт 180гр	Выездная торговля не для ТТ	2000000360508	Y
10200	Шашлык Южный из мяса птицы, шт 180гр	Выездная торговля не для ТТ	2000000360515	Y
10672	Шашлык для гриля, кат Б, в/у, охл, вес	100. Шашлык	2112372	Y
10726	Шашлык Летний из мяса птицы, в/у, охл	100. Шашлык	2112304	Y
10790	Шашлык из баранины, охл, вес Не исп	100. Шашлык	2109368	Y
10983	ИМ Шашлык Фермеры Сибири в маринаде Пикантный	Интернет Магазин	2000000222011	Y
11258	Крыло куриное в маринаде с аджикой, охл, вес Не исп	100. Шашлык	2109970	Y
11300	Шашлычок овощной гриль, вес.	Гриль ЗМ	2110459	Y
11843	Шашлык из свинины в лаваше (Гриль), шт 200 гр	Снеки ТП	2000000018928	Y
11862	Крылья куриные для гриля (в маринаде Чилли-Вилли), охл, вес	100. Шашлык	2109194	Y
11863	Крылья куриные для гриля (в маринаде Чилли-Вилли), охл, вес	100. Шашлык	2312505	Y
11880	Шашлык Чикен-гриль (крылышки сладкие), охл, вес	100. Шашлык	2109288	Y
11881	Шашлык Чикен-гриль (крылышки сладкие), охл, вес	100. Шашлык	2312739	Y
11942	Шашлык Фермеры Сибири в маринаде Кавказский, охл, в/у	Мясо сопутка	2109750	Y
12026	Шашлык Фермеры Сибири в маринаде Пикантный, охл, в/у	Мясо сопутка	2109748	Y
12139	Шашлык Пикантный, кат Б, в/у, охл (на шпажке) Не исп	100. Шашлык	2109646	Y
12290	Стейк-гриль из свинины вариант 1, кат Д, в/у, охл, вес	100. Шашлык	2113386	Y
12320	Колбаски Мексиканские, охл, в/у, 0,4 кг	020. Колбасы вареные	4630061396154	Y
12321	Колбаски Нежные, охл, в/у, 0,4 кг	020. Колбасы вареные	4630061396130	Y
12323	Шашлык по-домашнему, кат Б, в/у, охл, вес	100. Шашлык	2113409	Y
12324	Шашлык из филе бедра, в/у, охл, вес	100. Шашлык	2113410	Y
12325	Шашлык Оригинальный, кат Б, в/у, охл, вес	100. Шашлык	2113411	Y
12339	Стейк из балыка на кости, кат В, в/у, охл, вес	100. Шашлык	2113424	Y
12358	Шашлык Фирменный с луком, кат. В, в/у, охл, вес	100. Шашлык	2113433	Y
12371	Шашлык из утиных окорочков в маринаде «Кисло-сладкий», в/у, охл, вес	100. Шашлык	2113439	Y
12390	Шашлык Пикантный, кат. Б, в/у, охл, вес	100. Шашлык	2113500	Y
12534	Колбаски Свиные с вяленными томатами, вар, в/у, охл, 0,3 кг	020. Колбасы вареные	4630061398837	Y
12535	Колбаски Свиные с сыром, вар, в/у, охл, 0,3 кг	020. Колбасы вареные	4630061398844	Y
12536	Шашлык по-азиатски, в/у, охл, вес	130. Полуфабрикаты в маринаде	2113825	Y
12537	Бедро куриное в маринаде Барбекю, в/у, охл, вес	100. Шашлык	2113828	Y
12550	Шашлык из шеи в имбирно-лимонном маринаде, в/у, кат Б, охл, 0,5 кг	100. Шашлык	4630061399094	Y
12551	Шашлык из шеи в гранатовом маринаде, в/у, кат Б, охл, 0,5 кг	100. Шашлык	4630061399100	Y
